"designacion_anio","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2000,"Defensor","Tribunal","Penal",1,0
2000,"Fiscal","Juzgado","Penal",1,0
2000,"Fiscal","Tribunal","Penal",1,0
2001,"Defensor","Sin datos",,0,1
2001,"Defensor","Juzgado","Múltiple",0,2
2001,"Defensor","Juzgado","Penal",0,2
2001,"Fiscal","Juzgado","Múltiple",0,1
2001,"Fiscal","Cámara","Penal",3,0
2001,"Fiscal","Tribunal","Penal",1,0
2001,"Juez","Juzgado","Civil y/o comercial",4,5
2001,"Juez","Cámara","Electoral",2,0
2001,"Juez","Juzgado","Laboral",2,0
2001,"Juez","Cámara","Múltiple",4,2
2001,"Juez","Juzgado","Múltiple",5,1
2001,"Juez","Cámara","Penal",1,0
2001,"Juez","Juzgado","Penal",1,0
2001,"Juez","Tribunal","Penal",4,1
2001,"Juez","Cámara","Seguridad social",1,0
2002,"Defensor","Cámara","Penal",1,0
2002,"Defensor","Juzgado","Penal",2,0
2002,"Defensor","Tribunal","Penal",0,2
2002,"Defensor","Cámara","Penal económico",1,0
2002,"Fiscal","Juzgado","Múltiple",1,0
2002,"Fiscal","Juzgado","Penal",3,0
2002,"Fiscal","Tribunal","Penal",1,0
2002,"Juez","Cámara","Civil y/o comercial",3,1
2002,"Juez","Juzgado","Civil y/o comercial",3,2
2002,"Juez","Juzgado","Contencioso administrativo",2,1
2002,"Juez","Cámara","Laboral",2,1
2002,"Juez","Juzgado","Laboral",2,1
2002,"Juez","Cámara","Múltiple",3,2
2002,"Juez","Juzgado","Múltiple",8,0
2002,"Juez","Juzgado","Penal",3,3
2002,"Juez","Tribunal","Penal",5,1
2002,"Juez","Juzgado","Penal económico",2,1
2003,"Defensor","Juzgado","Penal",0,1
2003,"Defensor","Tribunal","Penal",1,0
2003,"Fiscal","Cámara","Múltiple",1,0
2003,"Fiscal","Tribunal","Penal",1,0
2003,"Juez","Sin datos",,1,0
2003,"Juez","Cámara","Laboral",0,1
2003,"Juez","Cámara","Múltiple",0,1
2003,"Juez","Cámara","Penal",1,1
2003,"Juez","Tribunal","Penal",4,1
