"marca","nombre_fantasia","denominacion","RNPA"
"Abedul","No registra","Aceite de maíz, libre de gluten, sin TACC","02-508542"
"Abedul","No registra","Aceite de maíz - Libre de gluten","02-519714"
"Abedul","No registra","Aceite de oliva virgen libre de gluten.","02-598508"
"Alimentos Tomy","No registra","Aceite de oliva extra libre de gluten","03003988-2"
"Almalegre","No registra","Aceite de oliva virgen extra – Libre de gluten","13043916"
"Almalegre","No registra","Aceite de oliva virgen extra orgánico – Libre de gluten","13043915"
"Arcor","No registra","Aceite de maíz - Libre de gluten","02-524255"
"Best","No registra","Aceite comestible mezcla (aceite de soja 90% - aceite de girasol 10%) - Libre de gluten","02-599135"
"Burger King","No registra","Aceite de maíz - Libre de gluten","02-597180"
"Caldén","No registra","Aceite comestible mezcla (90% soja - 10% girasol) - Libre de gluten","02-530498"
"Chalet Rufino","No registra","Aceite de oliva - Libre de gluten","13031235"
"Chalet Rufino","No registra","Aceite de oliva virgen extra - Libre de gluten","13045460"
"Clarina","No registra","Aceite comestible mezcla (soja 90% y girasol 10%) - Libre de gluten","02-555464"
"Cleo","No registra","Aceite comestible mezcla (94 % soja y 6 % girasol) - Libre de gluten","02-583038"
"Contraviento","No registra","Aceite de oliva virgen extra - Libre de gluten","13047145"
"Corazón","No registra","Aceite de maíz - Libre de gluten","02-553556"
"Corazón","No registra","Aceite de girasol, libre de gluten","02-568281"
"Corazón","No registra","Aceite de oliva, libre de gluten","02-568282"
"Dia %","No registra","Aceite de girasol - Libre de gluten","02-610787"
"Día %","No registra","Aceite de girasol - Libre de gluten","02-532521"
"Don Ricardo","Don Ricardo","Aceite de oliva virgen extra - Libre de gluten - Sin T.A.C.C.","23041316"
"Ecoop","Ecoop","Aceite de canola virgen. Libre de gluten","025/08002581-3-7/031"
"Ecoop","No registra","Aceite de girasol con alto contenido oleico - Libre de gluten","02-500542"
"El Malevo","Frantoio","Aceite de oliva virgen extra – Libre de gluten","13044326"
"El Malevo","Blend","Aceite de oliva virgen extra – Libre de gluten","13044327"
"Epu Antu","No registra","Aceite de oliva virgen extra - Libre de gluten","02-583504"
"Estampa","No registra","Aceite de girasol con alto contenido de acido oleico  - Libre de gluten","02-589763"
"Familia Sottano","No registra","Aceite de oliva virgen extra orgánico - Libre de gluten","13029537"
"Familia Sottano","No registra","Aceite de oliva virgen extra varietal arbequina - Libre de gluten","13041092"
"Familia Sottano","No registra","Aceite de oliva virgen extra varietal farga - Libre de gluten","13041093"
"Familia Sottano","No registra","Aceite de oliva virgen extra varietal frantoio - Libre de gluten","13028867"
"Familia Zuccardi","No registra","Aceite de oliva virgen extra – Libre de gluten","13031147"
"Finca 1883","Farga - Arauco","Aceite de oliva virgen extra – Libre de gluten","13041975"
"Finca 1883","Frantoio","Aceite de oliva virgen extra – Libre de gluten","13042072"
"Finca 1883","Arauco","Aceite de oliva virgen extra – Libre de gluten","13042073"
"Finca Lecumberri","No registra","Aceite de oliva virgen extra – Libre de gluten","13040743"
"Finca Lecumberri","No registra","Aceite de oliva virgen extra – Libre de gluten","13043040"
"Finca Lecumberri","No registra","Aceite de oliva virgen extra – Libre de gluten","13043041"
"Finca Lecumberri","No registra","Aceite de oliva virgen extra – Libre de gluten","13043042"
"Finca Lecumberri Noble Lur","No registra","Aceite de oliva virgen extra – Orgánico – Libre de gluten","13040989"
"Germen de vida","No registra","Aceite de oliva virgen extra - orgánico - Libre de gluten","13046308"
"Geroliva","No registra","Aceite comestible mezcla - Libre de gluten","02-523635"
"Gersoja","No registra","Aceite de soja - Libre de gluten","02-572764"
"Gersol","No registra","Aceite de girasol, libre de gluten","02-530869"
"Giglio","No registra","Aceite de oliva virgen extra – Orgánico – Libre de gluten","13034463"
"Indalo","No registra","Aceite de oliva virgen extra - libre de gluten","03004045-7"
"Jumbo más calidad","No registra","Aceite de girasol refinado - Libre de gluten","02 - 603438"
"Jumbo más Calidad","No registra","Aceite comestible mezcla - Libre de gluten - Aceite mezcla","02-607926"
"Krol","Krol Kids","Aceite de canola virgen libre de gluten","025/08002581-3-7/040"
"La Anónima","No registra","Aceite de girasol. Libre de gluten","02-564825"
"Laur","No registra","Aceite de oliva virgen extra - Libre de gluten","13039478"
"Laur","Gran Mendoza Premium","Aceite de oliva virgen extra - Libre de gluten","13042137"
"Laur","Altos limpios","Aceite de oliva virgen extra - Libre de gluten","13042145"
"Laur","Medrano","Aceite de oliva virgen extra - Libre de gluten","13042146"
"Laur","Cruz de piedra","Aceite de oliva virgen extra - Libre de gluten","13042148"
"Legítimo","No registra","Aceite de girasol - Libre de gluten","02-504972"
"Legítimo","No registra","Aceite comestible de girasol alto oleico libre de gluten","02-598507"
"María Ravida","Frantoio","Aceite de oliva virgen extra – Libre de gluten","13043368"
"Mcdonald's - Nucete","No registra","Aceite de oliva virgen libre de gluten","02-581393"
"Menoyo Selecto","No registra","Aceite de oliva virgen extra- Libre de gluten","02-608759"
"Mi Finca","No registra","Aceite de oliva virgen extra - Libre de gluten","03004167-4"
"Midas","No registra","Aceite comestible mezcla (90% aceite de soja - 10% aceite de girasol) -  Libre de gluten","02-530814"
"Natreon","No registra","Aceite de girasol con alto contenido de acido oleico libre de gluten","02-519830"
"Natura","Selección especial","Aceite de oliva virgen extra – Libre de gluten","13043229"
"No registra","No registra","Aceite de girasol con alto contenido de ácido oleico - libre de gluten","02-593528"
"No registra","No registra","Aceite comestible de girasol alto oleico- Libre de gluten- Uso industrial","02-598989"
"No registra","No registra","Aceite de girasol refinado - Libre de gluten.","02-584528"
"No registra","No registra","Aceite de girasol refinado - Libre de gluten.","02-584580"
"No registra","No registra","Aceite de soja - Libre de gluten","02-584311"
"No registra","No registra","Aceite de soja - Libre de gluten.","02-586771"
"No registra","No registra","Aceite de oliva virgen extra - Libre de gluten –a granel","03002514-8"
"Nobilta","No registra","Aceite de oliva virgen extra libre de gluten","03003789-8"
"Noble Lur","No registra","Aceite de oliva virgen calidad extra – Libre de gluten","13039421"
"Noble Lur","No registra","Aceite de oliva virgen extra – Libre de gluten","13042731"
"Noble Lur","No registra","Aceite de oliva virgen extra – Libre de gluten","13042732"
"Noble Lur","No registra","Aceite de oliva virgen extra – Libre de gluten","13042733"
"Nogada","No registra","Aceite de oliva virgen extra libre de gluten","03003788-0"
"Okey Market","No registra","Aceite comestible mezcla- Libre de gluten","02-598469"
"Olibo","No registra","Aceite de oliva virgen extra orgánico – Libre de gluten","13041903"
"Olibo","Le Pain Quotidien","Aceite de oliva virgen extra orgánico – Libre de gluten","13041913"
"Oliovita","Arbequina","Aceite de oliva virgen calidad extra, libre de gluten","18004366"
"Oliovita","Orgánico","Aceite de oliva virgen extra libre de gluten","18006117"
"Oliovita","Clásico","Aceite de oliva virgen extra libre de gluten","18006596"
"Oliovita","Oliovita edición limitada","Aceite de oliva virgen extra libre de gluten","18007684"
"Oliovita","Aceite de oliva virgen extra variedad botánica changlot","Aceite de oliva virgen extra libre de gluten","18008222"
"Oliovita","Oliovita mediterráneo","Aceite de oliva virgen extra libre de gluten","18008329"
"Oliva Ilustre","Premium Blend","Aceite de oliva virgen extra - Libre de gluten","03004165-8"
"Oliva Ilustre","Cosecha especial","Aceite de oliva virgen extra - Libre de gluten","03004166-6"
"Olivares del Neuquén","Aceite de oliva extra virgen libre de gluten","Aceite de oliva extra virgen libre de gluten","15003017"
"Oro del Yokavil","No registra","Aceite de nuez libre de gluten","03004126-7"
"Piuque","Blend","Aceite de oliva virgen extra – Libre de gluten","13039646"
"Piuque","No registra","Aceite de oliva virgen extra – Libre de gluten","13042058"
"Piuque","Arauco","Aceite de oliva virgen extra – Libre de gluten","13042070"
"Piuque","Frantoio","Aceite de oliva virgen extra – Libre de gluten","13042071"
"Posada Adelina","No registra","Aceite de oliva virgen extra - Libre de gluten","13038197"
"Precoz","No registra","Aceite comestible mezcla (soja-girasol) libre de gluten","02-553555"
"Quantum","No registra","Aceite de oliva virgen - Libre de gluten","13039479"
"Raulito","No registra","Aceite de oliva virgen extra libre de gluten","03003880-1"
"Santa Augusta","No registra","Aceite de oliva virgen extra - Libre de gluten","13045957"
"Solazteca","No registra","Aceite de sésamo primera presión en frío. Libre de gluten","02-518928"
"Sturla","No registra","Aceite de sésamo libre de gluten","02-560660"
"Suter","No registra","Aceite de oliva virgen extra – Libre de gluten","13042743"
"Tapiz","Blend","Aceite de oliva virgen extra – Libre de gluten","13037917"
"Tapiz","Arauco","Aceite de oliva virgen extra – Libre de gluten","13042151"
"Típico","No registra","Aceite de soja - Libre de gluten","02-504772"
"Vea junto a vos","No registra","Aceite comestible mezcla - Libre de gluten","02 - 604459"
"Vea junto a vos","No registra","Aceite de girasol refinado - Libre de gluten","02 - 603781"
"Virtuoso","No registra","Aceite comestible mezcla (90% soja y 10% girasol) - Libre de gluten","02-504914"
"Vita In Olio","No registra","Aceite de oliva virgen extra – Libre de gluten","13043940"
"Zuelo","Intenso","Aceite de oliva virgen extra – Libre de gluten","13042709"
"Zuelo","Clásico","Aceite de oliva virgen extra – Libre de gluten","13042710"
"Zuelo","Suave","Aceite de oliva virgen extra – Libre de gluten","13042711"
"Chiavita","No registra","Aceite de chía - Libre de gluten - Sin TACC","23040871"
"Argenlac","No registra","Concentrado de proteínas de suero en polvo parcialmente desmineralizado (WPC), libre de gluten","02-593195"
"Argenlac","No registra","Suero de queso en polvo parcialmente desmineralizado (40%) - No higroscópico - Libre de gluten","02-569277"
"Argenlac","No registra","Concentrado de proteínas de suero de queso 50 % , desnaturalizadas, parcialmente desmineralizado, en polvo - Libre de gluten","02-600090"
"Argenlac","No registra","Concentrado de proteínas lacteas (55-70%) en polvo (MPC-60) - Libre de gluten","02-601458"
"Argenlac","No registra","Suero de manteca en polvo. Libre de gluten","02-601697"
"Argenlac","No registra","Suero de queso en  polvo, uso industrial, libre de gluten","02-601692"
"Barraza","No registra","Producto a base de leche, fermentos lácticos y aceite de pescado - Libre de gluten","02-594924"
"Base 1","No registra","Base para la alimentación infantil en polvo. Libre de gluten","025/08000019-3-7/162"
"Base 2","No registra","Base para la alimentación infantil en polvo. Libre de gluten","025/08000019-3-7/163"
"Base 3","No registra","Base para la alimentación infantil en polvo. Libre de gluten","025/08000019-3-7/164"
"Bon Wert condimentos","Goma xántica y goma guar","Mezcla de goma xántica y goma guar libre de gluten - aditivo alimentario uso industrial exclusivo","13046301"
"Clamor","No registra","Suero dulce de queso en polvo (de ricotta). Libre de gluten","02-560181"
